Nome Escola,Contato,Rua,Bairro,Lote,"nm_bai,C,80",Longitude (X),Latitude(Y)
CMEI TIO OSCAR,   321032,RUA DO PRATA,SETOR URIAS MAGALHAES,         51,S Urias Magalh?úes,683965.0,8159981.0
CMEI BAIRRO FELIZ,   320249,AVE LAURICIO PEDRO RASMUSSEN,BAIRRO FELIZ,          0,Vl Colemar Natal e Silva,688945.0,8156566.0
CMEI ANDREIA CRISTINA,   358861,AVE JORGE CAMARGO,SETOR BOA SORTE,          0,S Maria Celeste,675759.0,8145852.0
CENTRO DE EDUCACAO INFANTIL JANELA DO FUTURO,   324187,AVE B,VILA MORAIS,         60,Vl Moraes,689272.0,8156281.0
EM ALICE COUTINHO,   320638,RUA 16,VILA MORAIS,        400,Vl Moraes,689555.0,8156694.0
CENTRO DE EDUCACAO INFANTIL IRMÃ SCHEILLA,   328126,RUA CARAMURU,JARDIM DA LUZ,          0,S Sul,686606.0,8153090.0
CMEI PRIMEIROS PASSOS,   321338,RUA 84A,SETOR SUL,          0,S Sul,686211.0,8154395.0
INSTITUTO MARIA AUXILIADORA,   309503,PCA COMENDADOR GERMANO RORIZ,SETOR SUL,        275,S Sul,686330.0,8153817.0
CENTRO DE EDUCAÇÃO INFANTIL FRANCISCA DE LIMA,   324154,RUA 84A,SETOR SUL,        103,S Sul,685975.0,8154310.0
CMEI SANTA LUZIA,   321016,RUA UM2,SETOR URIAS MAGALHAES II,          0,S Urias Magalh?úes II,684986.0,8159741.0
EM PROFESSORA AMLIA FERNANDES MARTINS,   328269,RUA OCANAN,PARQUE ACALANTO,         50,Prq Acalanto,688860.0,8149155.0
ESCOLA GOVERNADOR OLINTO DE PAULA LEITE,   328280,AVE VIRGILIO JOAQUIM FERREIRA,PARQUE FLAMBOYANT,          0,Res Parque Flamboyant,689744.0,8148613.0
CMEI VILA LEGIONARIAS - NAC,   327890,RUA AMARAL,VILA LEGIONARIAS,          0,Vl Legion?írias,688369.0,8149313.0
EM MARECHAL RIBAS JUNIOR,   328268,RUA R5,VILA REDENCAO,        201,Vl Reden?º?úo,687283.0,8150252.0
CMEI TIO ROMÃO,   327885,AL EMILIO POVOA,VILA REDENCAO,         75,Vl Reden?º?úo,687531.0,8150944.0
CMEI COLEMAR NATAL E SILVA,   328283,AVE DOM FERNANDO,CHACARA DO GOVERNADOR,        550,Ch do Governador,689255.0,8149592.0
CENTRO DE EDUCACAO INFANTIL RENASCER,   328220,AVE DOM FERNANDO,CHACARA DO GOVERNADOR,        925,Ch do Governador,689899.0,8149785.0
EM ZEVERA ANDREA VECCI,   328269,RUA 1,CONJUNTO FABIANA,        150,Cj Fabiana,690267.0,8149352.0
EM SANTA RITA DE CASSIA,   324970,- -,ZONA RURAL,          0,Ch Vau das Pombas,695587.0,8142897.0
CMEI TIA JOVITA,   320814,AVE PARACATU,VILA PEDROSO,        694,Vl Pedroso,694028.0,8157022.0
EM MARIA CANDIDA FIGUEIREDO,   320813,AVE BRASIL,VILA PEDROSO,          0,Vl Pedroso,693660.0,8157097.0
EM MADRE FRANCISCA,   320825,AVE CENTRAL,VILA PEDROSO,          0,Vl Pedroso,694004.0,8157262.0
ESCOLA ESPIRITA ALLAN KARDEC,   320816,RUA PEDRO BRANT,BAIRRO SANTO HILARIO COMPLEMENTO,          2,Prq das Amendoeiras,693273.0,8157799.0
EM VICENTE RODRIGUES DO PRADO,   320814,RUA VIEIRA DA CUNHA,PARQUE DAS AMENDOEIRAS,         18,Prq das Amendoeiras,693033.0,8157784.0
NUCLEO EDUCACIONAL MAE DOLOROSA,   320810,AVE ANAPOLIS,VILA PEDROSO,          0,Gleba,692621.0,8157183.0
EM PEDRO CIRIACO DE OLIVEIRA,   320826,RUA LUIZ DO COUTO,VILA CONCORDIA,        169,Vl Conc??rdia,693301.0,8156726.0
EM VIRGINIA GOMES PEREIRA,   320825,AVE HILARIO SEBASTIAO DE FIGUEREDO,BAIRRO SANTO HILARIO II,       1101,Bro Santo Hil?írio II,691651.0,8157884.0
EM PROF. JOSE DECIO FILHO,   320826,RUA PROF. MARIA JACINTA NEVES,BAIRRO SANTO HILARIO,        100,Bro Santo Hil?írio,692914.0,8158631.0
CMEI BAIRRO SANTO HILÁRIO,   320814,RUA JOAO MOTA FILHO,BAIRRO SANTO HILARIO,          0,Bro Santo Hil?írio,692270.0,8158183.0
EM SENADOR DARCY RIBEIRO,   320881,RUA SR38,SETOR RECANTO DAS MINAS GERAIS,          0,S Recanto das Minas Gerais,693950.0,8158694.0
CMEI JARDIM MARILIZA,   327326,RUA JARINA,JARDIM MARILIZA,          0,Jd Mariliza,691872.0,8148725.0
CMEI PARQUE ATHENEU,   327321,AVE PARQUE ATENEU,PARQUE ATHENEU,          0,Prq Atheneu,691985.0,8147192.0
CMEI ATHENEU DOM BOSCO,   327308,RUA AT10 UNIDADE 303,PARQUE ATHENEU,          0,Prq Atheneu,692530.0,8147541.0
EM MARIA ARAUJO DE FREITAS,   328481,RUA 203 UNIDADE 203,PARQUE ATHENEU,          0,Prq Atheneu,692143.0,8147991.0
EM PADRE ZEZINHO,   328482,RUA 2032 UNIDADE 203,PARQUE ATHENEU,          0,Prq Atheneu,692625.0,8147821.0
INSTITUTO SANTA MONICA DE PROT E ASSIST A INFANCIA,   327316,RUA 2071 UNIDADE 207,PARQUE ATHENEU,          0,Prq Atheneu,692787.0,8148215.0
EM JOSÉ ALVES VILA NOVA,   328489,RUA 102 UNIDADE 103,PARQUE ATHENEU,          0,Prq Atheneu,691582.0,8148068.0
EM ARY RIBEIRO VALADÃO FILHO,   328438,RUA AP3,CONJUNTO HABITACIONAL ARUANA III,        358,Cj Habitacional Aruan?ú III,691908.0,8154710.0
EM PROFESSORA SILENE DE ANDRADE,   328435,RUA JAVAES,CONJUNTO HABITACIONAL ARUANA I,        250,Cj Habitacional Aruan?ú I,691463.0,8153696.0
EM WILMAR DA SILVA GUIMAR?âES,   328434,RUA J3,CONJUNTO HABITACIONAL ARUANA I,          0,Cj Habitacional Aruan?ú I,691513.0,8153920.0
CMEI JARDIM DAS AROEIRAS,   320828,AVE DAS AROEIRAS,JARDIM DAS AROEIRAS,          0,Jd Aroeiras,692422.0,8156975.0
EM BENEDITO SOARES DE CASTRO,   320263,RUA PROFESSORA GABRIELA NEVES,CONJUNTO CAICARA,         50,Cj Cai?ºara,690816.0,8158168.0
CMEI CRISTIANO EMIDIO MARTINS,   328426,RUA X10,JARDIM BRASIL,          0,Jd Brasil,690473.0,8153290.0
CMEI DOMICIANO DE FARIA,   357568,RUA EF16,RESIDENCIAL ELI FORTE,          0,Res Eli Forte,675601.0,8148980.0
CMEI PROFESSORA NAIR LACERDA JUBE BORGES,   357826,RUA 30,CONDOMINIO DAS ESMERALDAS,          0,S das Esmeraldas,674829.0,8143539.0
EM ENG. ROBINHO MARTINS DE AZEVEDO,   328873,RUA BL1,CONJUNTO HABITACIONAL BALIZA,          0,Cj Baliza,674947.0,8144764.0
CMEI RESIDENCIAL ITAIPU,   328876,RUA RI30,RESIDENCIAL ITAIPU,          0,Res Itaip??,673774.0,8143298.0
EM RESIDENCIAL ITAIPU,   328878,RUA RI24,RESIDENCIAL ITAIPU,          0,Res Itaip??,673929.0,8143414.0
EM LUZIA DE SOUZA FIUZA,   328874,RUA W10,JARDIM ITAIPU,          0,Jd Itaipu,674476.0,8144068.0
EM JOÃO VIEIRA DA PAIXAO,   357581,RUA SB14,RESIDENCIAL SOLAR BOUGAINVILLE,          0,Res Solar Bougainville,674550.0,8149505.0
EM MONTEIRO LOBATO,   328824,RUA SALUTE PAVAN PETROLLI,SETOR ORIENTVILLE,          0,S OrientVille,675150.0,8147118.0
CMEI JOAO VAZ,   329515,VLA VITORIA,VILA JOAO VAZ,          0,Vl Jo?úo Vaz,679861.0,8157844.0
EM PRESIDENTE VARGAS,   329541,AVE SAO LUIZ,VILA JOAO VAZ,        100,Vl Jo?úo Vaz,679706.0,8157791.0
EM PEDRO GOMES DE MENEZES,   329711,RUA MANOEL SILVA,VILA REGINA,        290,Vl Regina,677919.0,8157651.0
EDUCANDARIO ESPIRITA EURIPEDES BARSANULFO,   329731,RUA DOM PEDRO II,JARDIM NOVA ESPERANCA,       1140,Jd Nova Esperan?ºa,678696.0,8159580.0
EM JARDIM NOVA ESPERANÇA,   359741,RUA JARDIM,JARDIM NOVA ESPERANCA,        550,Jd Nova Esperan?ºa,678540.0,8158983.0
EM EVANGELINA PEREIRA DA COSTA,   329716,EST 115,CHACARA DE RECREIO SAO JOAQUIM,        317,Ch de Recreio S?úo Joaquim,675970.0,8159915.0
CMEI RECANTO DAS GARÇAS,   357718,RUA OTHON GALDINO,RESIDENCIAL RECANTO DAS GARCAS,          0,Res Recanto das Gar?ºas,672099.0,8159261.0
EM PROF. HILARINDO ESTEVAM DE SOUZA,   329930,AVE ELIZABETH MARQUES,PARQUE BURITI,        133,Prq Buriti,671533.0,8159116.0
EM MANOEL JACINTHO COELHO (ANT. JD. CERRADO VI),35777817,RUA JC103,RESIDENCIAL JARDINS DO CERRADO 6,1,,667114.0,8155918.0
EM ANA DAS NEVES DE FREITAS,   328221,RUA C6,PARQUE DAS LARANJEIRAS,         99,Prq das Laranjeiras,689020.0,8150135.0
INSTITUTO EDUCACIONAL BOA NOVA,   324926,RUA SC1,PARQUE SANTA CRUZ,          0,Prq Acalanto,689085.0,8149331.0
CENTRO DE EDUCACAO INFANTIL BETEL,   324187,RUA SC3,PARQUE SANTA CRUZ,        122,Prq Santa Cruz,689685.0,8149315.0
CMEI OITO DE MARÇO,   321260,RUA 82,SETOR CENTRAL,          0,S Central,686090.0,8154892.0
